foe,year,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1996,83221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1996,219221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1996,172370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1996,220280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1996,472185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1996,901971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1996,728717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1996,131136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1996,167026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1997,461136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1997,176076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1997,495584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1997,110669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1997,78733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1997,234005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1997,172040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1997,202122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1997,460559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1997,985278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1997,769295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1997,135077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1997,178373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1998,449912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1998,193602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1998,485424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1998,111718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1998,73175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1998,245324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1998,175568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1998,202815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1998,463465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1998,1043334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1998,771857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1998,142983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1998,178631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,1999,439072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,1999,228958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,1999,476295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,1999,102810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1999,69963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,1999,242319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,1999,175140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,1999,196090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,1999,479402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,1999,1078286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,1999,774767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,1999,147857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,1999,177543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,1999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,1999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2000,425354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2000,270947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2000,449333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2000,105383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2000,60877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2000,252639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2000,177266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2000,193397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2000,487409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2000,1117343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2000,792162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2000,140517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2000,185160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2001,372955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2001,378537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2001,428349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2001,108260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2001,106786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2001,273770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2001,149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2001,192656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2001,503565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2001,1123668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2001,813944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2001,156332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2001,178781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2001,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2001,14192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2002,381767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2002,411681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2002,431769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2002,108694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2002,105627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2002,286948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2002,144341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2002,201342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2002,531971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2002,1208627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2002,867724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2002,162561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2002,190843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2002,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2002,9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2003,392044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2003,393945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2003,447267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2003,110983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2003,106682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2003,302233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2003,141492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2003,202995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2003,536910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2003,1301249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2003,886064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2003,168831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2003,193553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2003,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2003,13009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2004,402392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2004,359079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2004,439310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2004,109978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2004,105509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2004,312576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2004,136366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2004,203890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2004,548193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2004,1353877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2004,880308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2004,178818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2004,189596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2004,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2004,12075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2005,401026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2005,318195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2005,425627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2005,112949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2005,92572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2005,325135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2005,135740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2005,217746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2005,545695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2005,1397181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2005,903276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2005,175570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2005,186713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2005,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2005,9721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2006,401583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2006,263079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2006,430912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2006,119096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2006,85570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2006,352616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2006,143050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2006,242028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2006,551900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2006,1463996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2006,932289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2006,182528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2006,201937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2006,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2006,10899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2007,408565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2007,242680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2007,454941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2007,129069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2007,82705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2007,387664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2007,143321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2007,270211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2007,558250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2007,1593057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2007,956466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
